pole_id,latitude,longitude,desc_addr,luminaire,pole_construction,arm_length,pole_use,cmo_obj_id,led_project,led_status,led_type
12L100,37.3339772,-121.8910137,S MARKET ST 95,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1209,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L1006,37.33857184,-121.894522,N MARKET ST 201,S4H-250,STEEL,8 FT,ST LIGHT ONLY,1210,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L1007,37.33875903,-121.8946447,N MARKET ST 225,S4H-400,UNKNOWN,OTHER,ST LIGHT ONLY,1211,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L1017,37.33919102,-121.8996209,BASSETT ST 275 OPP,S-L-180,UNKNOWN,8 FT,UNKNOWN,1212,Bassett St Development,Planned,GCAD1-80C-MV-NW-3M-GY-SDCM1
11L1018,37.33895922,-121.9000696,BASSETT ST 275 OPP 100' WO,S-L-180,GALVANIZED,8 FT,UNKNOWN,1213,Bassett St Development,Planned,GCAD1-80C-MV-NW-3M-GY-SDCM1
12L102,37.33370969,-121.8908706,S MARKET ST 95,S4H-400,STEEL,8 FT,ST LIGHT & SIGNAL,1214,Smart Pole Phase 2,Planned,RFL-215W96LED4K-T-R3M
11L104,37.3334507,-121.8907132,S MARKET ST & W SAN FERNANDO ST SWC,S4H-400,STEEL,10 FT OR 12 FT,ST LIGHT & SIGNAL,1215,Cahil to 10th,Completed,EC9-30M-MV-NW-3-GY-LUCO-PD-WL @ 700mA
11L106,37.33326361,-121.8906013,S MARKET ST WS 50' SO W SAN FERNANDO ST,S4H-400,STEEL,OTHER,ST LIGHT ONLY,1216,Smart Pole Phase 1,Planned,
11L1070,37.33500345,-121.8867029,S 3RD ST ES 150' SO E SAN FERNANDO ST,S4H-250,STEEL,8 FT,ST LIGHT ONLY,1217,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L1071,37.33467203,-121.8864342,S 3RD ST 130,S4H-250,UNKNOWN,OTHER,ST LIGHT ONLY,1218,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L1076,37.33550598,-121.8950508,CARLYSLE ST NS 100' EO NOTRE DAME AVE,S4H-250,STEEL,8 FT,ST LIGHT ONLY,1219,Almaden Ave and Carlysle St Development,Planned,
11L1078,37.33476275,-121.8939721,S ALMADEN AVE WS 20' NO W SANTA CLARA ST,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1220,Smart Pole,Planned,
11L1143,37.33702924,-121.8933708,N MARKET ST & W ST JOHN ST SWC,S-V-400,STEEL,8 FT,ST LIGHT ONLY,1221,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11L1143Y,37.33724818,-121.8935253,W ST JOHN ST & N MARKET ST WS MEDIAN,S4H-400,STEEL,8 FT,ST LIGHT ONLY,1222,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11L1144,37.33729547,-121.8932227,N MARKET ST & W ST JOHN ST NEC,S4H-400,STEEL,10 FT OR 12 FT,UNKNOWN,1223,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11L1145,37.33702564,-121.8930339,W ST JOHN ST & S MARKET ST SEC,S4H-400,STEEL,13 FT,ST LIGHT ONLY,1224,Smart Pole Phase 2,Planned,RFL-241W112LED4K-T-R3M
11L116,37.33593681,-121.8963616,W ST JOHN ST SS 150' WO NOTRE DAME AVE,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1225,St John Multimodal Improvements,Planned,
11L121,37.33619672,-121.8958262,W ST JOHN ST SS 15' EO NOTRE DAME AVE,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1226,Almaden Ave and Carlysle St Development,Planned,
11L1250,37.33500179,-121.8869599,1ST SL S/O SAN FERNANDO ST W/S OF 3RD ST,S4H-250, ,OTHER,ST LIGHT ONLY,1227,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L132,37.33585554,-121.8957087,NOTRE DAME ST 99 OPP,S4H-310,STEEL,OTHER,ST LIGHT ONLY,1228,Almaden Ave and Carlysle St Development,Planned,
11L138,37.33599544,-121.8949764,TERRAINE ST WS 150' NO CARLYSLE ST,S4H-400,STEEL,8 FT,UNKNOWN,1229,Almaden Ave and Carlysle St Development,Planned,
11L151,37.33973803,-121.8954123,N MARKET ST & W JULIAN ST SWC,S4H-400,UNKNOWN,10 FT OR 12 FT,ST LIGHT ONLY,1230,Smart Pole,Planned,
11L152,37.33982761,-121.8955077,W JULIAN ST & N MARKET ST NWC ISLAND,S4H-400,STEEL,OTHER,UNKNOWN,1231,Smart Pole,Planned,
11L184,37.33439914,-121.8863046,S 3RD ST 118,S4H-310,STEEL,8 FT,ST LIGHT ONLY,1232,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
11L185,37.33422193,-121.8861704,S 3RD ST 144 100' NO,S4H-310,STEEL,8 FT,ST LIGHT ONLY,1233,Smart Pole Phase 2,Planned,RFL-180W80LED4K-T-R3M
